"codigoine","concello","X1900","X1910","X1920","X1930","X1940","X1950","X1960","X1970","X1981","X1991","X2001","X2011","sup1996"
15001,"Abegondo",7376,7604,7776,8238,8890,8202,7335,6302,5912,5448,5729,5699,83.9
15002,"Ames",7097,7271,7334,7602,9153,9425,9597,9833,9166,9864,18782,29106,80
15003,"Aranga",4710,4512,4673,4980,5005,4618,4072,3187,2685,2490,2314,2070,119.6
15004,"Ares",4209,4537,4488,4850,5671,4724,5033,5042,4529,4447,5003,5774,18.3
15005,"Arteixo",9629,9539,9304,9905,10528,10471,10887,12166,15268,17934,23306,30630,93.4
15006,"Arzúa",9036,8708,8722,8743,10396,10754,10470,9064,6999,6932,6633,6304,155.4
15007,"Baña, A",5797,6043,6023,6149,7041,7347,6495,8238,7913,5007,4800,3972,98
15008,"Bergondo",5869,5948,5620,5597,6325,6003,5562,5225,5424,5443,6223,6692,32.7
15009,"Betanzos",8948,8826,8709,8910,10504,10827,10223,10101,11385,11871,12510,13539,24.2
15010,"Boimorto",4044,4032,4193,4468,5168,5477,5449,5216,3181,2685,2522,2199,82.4
15011,"Boiro",8953,9429,9989,10505,11668,12570,12661,13867,16752,16792,17748,19088,86.6
15012,"Boqueixón",4232,4081,4192,4432,4877,5062,5004,5154,4978,4187,4267,4411,73.2
15013,"Brión",5681,5836,5792,6129,6811,6966,6642,5679,5942,5752,6233,7373,74.9
15014,"Cabana de Bergantiños",4727,4516,4513,5232,6101,6772,6712,6850,6652,5593,5563,4747,100.3
15015,"Cabanas",3322,3447,3443,3584,4100,4380,5014,5001,3500,3074,3354,3297,30.3
15016,"Camariñas",4153,4591,5042,5288,5729,5707,6269,7865,6818,6930,6421,6075,51.9
15017,"Cambre",6722,6598,6604,7805,7822,8011,7748,7259,9137,12383,19262,23822,40.7
15018,"Capela, A",3960,4132,3909,4333,4617,4792,4748,3967,3212,1719,1530,1373,58
15019,"Carballo",13032,13513,13774,15127,18159,20965,22131,23508,23923,24898,28142,31292,186.8
15020,"Carnota",5507,6227,6331,6594,7048,7196,6632,6681,6504,5978,5480,4626,70.9
15021,"Carral",5082,5126,5164,5661,6033,6067,5659,4935,5481,5206,5236,6129,48
15022,"Cedeira",5219,5480,6466,7430,8228,7709,8411,7968,7827,7450,7500,7268,85.4
15023,"Cee",4060,4280,4597,5151,5296,5945,6256,6713,7234,6921,7164,7856,57.5
15024,"Cerceda",4803,4826,5006,5949,7379,7418,7929,7502,7003,5347,5390,5339,110.9
15025,"Cerdido",3060,3051,3100,3350,3530,3696,3146,3019,2046,1867,1568,1304,52.7
15026,"Cesuras",4989,4993,5315,5572,6472,6408,5953,5164,3702,2948,2551,2187,79.7
15027,"Coirós",2550,2575,2419,2292,2476,2209,2019,1741,1587,1576,1576,1759,33.9
15028,"Corcubión",1551,1550,1578,1613,1427,1581,1773,1823,1933,1951,1966,1720,6.5
15029,"Coristanco",6495,6982,7290,7338,8414,9327,9609,9684,10187,8388,7962,6982,141.1
15030,"Coruña, A",43971,47984,62022,74132,104220,133844,177502,189654,232356,252694,236379,245053,37.6
15031,"Culleredo",7495,7414,7315,8004,8603,8738,8520,9962,13129,14602,22348,29382,62.3
15032,"Curtis",4335,5102,5189,5678,6553,6723,7208,6735,4908,4482,4405,4161,116.6
15033,"Dodro",3181,3208,3259,3213,3320,3262,3250,3176,3358,3362,3210,2987,36.1
15034,"Dumbría",3526,3560,3899,3824,4475,5031,5281,4543,4408,3967,4260,3317,124.7
15035,"Fene",5388,6240,6057,6540,7671,8110,9267,11101,15040,14759,14496,13807,26.3
15036,"Ferrol",25281,26331,30350,35563,59829,77030,74799,87736,91764,85132,77950,71690,82.6
15037,"Fisterra",4708,5034,4848,4994,4925,4838,4838,4867,5147,4964,5132,4958,29.4
15038,"Frades",3328,3468,3712,3766,4206,4624,4601,4167,3649,3291,3006,2578,81.7
15039,"Irixoa",3561,3448,3802,3819,3944,3548,3178,2406,2111,1907,1655,1501,68.6
15040,"Laxe",3245,3271,3437,3228,3550,3884,3777,3535,3482,3484,3566,3319,36.9
15041,"Laracha, A",7993,8382,8544,10039,11459,12213,12708,10898,10857,10119,10596,11322,125.8
15042,"Lousame",5543,5477,5500,5857,6214,6555,6004,5361,4661,4275,4077,3634,93.6
15043,"Malpica",5577,5632,6046,6261,7098,7757,7827,8108,7911,7434,7042,6044,61.4
15044,"Mañón",4459,4340,4048,4059,4168,4267,4548,3198,2660,2103,1870,1541,82.2
15045,"Mazaricos",6036,6392,6666,6769,7533,7183,7920,7102,6665,6395,5769,4558,187.3
15046,"Melide",6512,7238,7668,8650,10083,10127,8659,7491,7797,8210,7818,7466,101.3
15047,"Mesía",4198,4713,4864,5318,6027,6046,6306,5167,4278,3631,3296,2874,106.8
15048,"Miño",4923,4862,5110,5326,5460,5823,5729,4964,5407,5030,4970,5682,33
15049,"Moeche",3168,3183,3212,3509,3625,3432,3148,2434,2036,1749,1489,1358,48.5
15050,"Monfero",5715,6116,5942,6473,6822,6530,5879,4360,3586,2975,2562,2139,171.7
15051,"Mugardos",6517,6523,6505,7112,8292,7110,6712,6793,7046,6478,5718,5472,12.8
15052,"Muxía",6542,6621,6870,7296,7061,7612,7149,6725,6797,6618,6040,5267,121.3
15053,"Muros",9130,9728,10026,10282,10475,11155,10029,10305,11060,10178,10156,9445,72.9
15054,"Narón",8333,9529,11188,12278,13319,14518,16436,21491,28984,31306,32204,39074,67
15055,"Neda",4753,5064,5758,6565,8000,9172,8865,8638,6941,6289,5958,5429,23.8
15056,"Negreira",5847,6139,6439,6958,7725,8440,8538,8999,7197,6265,6592,7074,115.1
15057,"Noia",9791,9990,10687,10975,12016,12118,12241,11990,13867,14082,14217,14751,37.2
15058,"Oleiros",6972,7312,8081,9115,10941,10564,10310,10457,15100,18727,27252,34220,43.8
15059,"Ordes",7260,7741,7595,8205,10195,10450,11770,9855,11095,11693,11963,12945,157.3
15060,"Oroso",3231,3363,3443,3553,4033,4360,4234,3810,3612,3761,5530,7269,72.1
15061,"Ortigueira",18426,18807,19422,20614,22152,21801,20391,17559,15576,9658,8172,6697,210
15062,"Outes",9160,9202,9979,10025,10811,11303,10734,9968,9815,8247,8202,7177,99.7
15063,"Oza dos Ríos",5475,5393,5609,5679,6209,6359,6031,5223,3736,3338,3151,3220,72.1
15064,"Paderne",4737,4545,4615,4632,4933,4566,4016,4299,3473,2887,2709,2592,39.8
15065,"Padrón",7415,7163,7148,7351,8189,8505,8170,8102,9796,10147,8841,8904,48.4
15066,"Pino, O",6232,6255,6337,6832,7371,7768,7495,6174,5903,5282,4868,4711,131.9
15067,"Pobra do Caramiñal, A",6540,7506,8584,8784,8337,8010,7449,8165,9813,9863,9972,9637,32.4
15068,"Ponteceso",6987,7470,7831,8517,9780,9323,8480,8366,7950,7382,6906,6065,91.9
15069,"Pontedeume",5943,6344,6584,7056,7755,8286,8201,8107,8459,8851,8696,8305,29.3
15070,"Pontes de García Rodríguez, As",4626,4962,4777,5026,5200,5951,8317,7916,11027,13214,12097,11021,249.4
15071,"Porto do Son",9244,9557,9478,9682,10341,10876,10598,9874,10453,10414,10132,9695,94.6
15072,"Rianxo",8277,8589,8987,9461,9971,11120,10484,10944,11352,11812,11682,11706,58.8
15073,"Ribeira",12218,14228,15834,16870,18760,18280,20697,21716,23081,23255,26086,27742,69
15074,"Rois",5791,5770,5733,5820,6154,6282,6003,5715,5767,5514,5117,4876,92.8
15075,"Sada",6569,7534,7185,8508,7715,7345,7058,7047,7998,9190,11464,14854,27.4
15076,"San Sadurniño",5201,5276,5760,5932,6326,6622,5959,4907,4340,3747,3220,3085,99.7
15077,"Santa Comba",9075,9339,9756,9726,10963,12061,12115,11492,11385,11347,10794,10076,203.7
15078,"Santiago de Compostela",24120,24637,25870,38270,49191,55553,57165,70893,93695,105851,90188,95397,220.6
15079,"Santiso",4173,4366,4423,4787,4657,4831,4418,3322,2803,2469,2266,1847,67.4
15080,"Sobrado",4899,4838,5032,5583,6245,6459,5333,4441,3375,2739,2402,2055,120.6
15081,"Somozas, As",3801,3534,3585,3934,4098,3962,3476,2610,1973,1678,1396,1281,70.9
15082,"Teo",7036,7194,7496,7998,8930,9242,9848,11179,10986,13066,15476,18472,79.3
15083,"Toques",2940,3132,3011,3131,3261,3264,3138,2582,2297,1949,1580,1309,77.9
15084,"Tordoia",3707,3939,3980,4459,5337,6220,6144,5727,5267,5350,4847,3951,124.5
15085,"Touro",6678,5901,6283,6617,7207,7636,7774,6420,5539,5029,4776,4028,115.3
15086,"Trazo",3640,3915,4022,4458,4997,5409,5212,4532,4363,3796,3720,3407,101.4
15087,"Valdoviño",6178,6309,7465,8027,8959,8477,7982,8004,7146,6970,6805,6873,88.2
15088,"Val do Dubra",4409,4512,5101,5579,6153,6900,6753,5423,5654,4959,4765,4221,108.7
15089,"Vedra",5570,5462,5356,5639,5900,5763,5675,5160,5689,4895,5031,5030,52.8
15090,"Vilasantar",3020,3001,3197,3331,4073,4094,3869,2887,2368,1875,1597,1357,59.2
15091,"Vilarmaior",3062,3210,3242,3124,3228,2830,2370,2001,1897,1413,1365,1263,30.3
15092,"Vimianzo",8637,8767,9391,9222,10131,10678,9803,10170,9365,8433,8542,7989,187.4
15093,"Zas",5691,5949,6177,6275,7171,8004,8098,8481,7285,6560,6057,5119,133.2
15901,"Cariño",NA,NA,NA,NA,NA,NA,NA,NA,NA,5288,4844,4374,46.8
27001,"Abadín",5005,5363,5413,5590,6049,6352,6129,5247,4881,3942,3399,2764,196
27002,"Alfoz",3713,3726,3617,3639,4017,4011,3708,3205,2858,2645,2382,2022,77.5
27003,"Antas de Ulla",5409,5238,5572,5290,5531,5401,4476,4572,4146,3122,2695,2223,103.6
27004,"Baleira",4768,5164,4857,4667,5401,4703,4242,3304,2610,2024,1834,1463,168.8
27005,"Barreiros",4394,4635,4901,4804,5099,5197,4918,4165,4083,3763,3346,3134,72.4
27006,"Becerreá",9153,8689,8100,7864,7776,7015,7753,5762,5034,3992,3472,3082,172.1
27007,"Begonte",6541,6730,7270,6335,6952,6963,6679,5151,4630,4493,3674,3317,126.8
27008,"Bóveda",4398,4199,4583,4629,4752,4143,3733,3144,3244,2320,1949,1592,91.1
27009,"Carballedo",9804,9068,8234,9116,10485,10295,9778,5450,4518,4145,3080,2537,138.8
27010,"Castro de Rei",7211,7359,6978,7123,7559,7513,7667,6920,6447,5748,5850,5428,177
27011,"Castroverde",6189,6934,7276,7173,9017,8122,8054,5256,4548,3797,3378,2882,174.2
27012,"Cervantes",7181,7557,8412,7245,7011,7952,5570,4294,3069,2372,2135,1598,277.6
27013,"Cervo",4838,4901,4711,4532,4668,5069,5510,6293,9602,13129,4936,4498,78.3
27014,"Corgo, O",6813,7288,8031,7775,8065,8544,7399,5454,5001,4768,4280,3822,157.3
27015,"Cospeito",7113,7005,6817,7407,7615,7921,8090,7472,6931,6166,5658,5072,144.8
27016,"Chantada",15003,15010,13541,14694,15127,14467,14116,10666,9854,9754,9401,8739,176.7
27017,"Folgoso do Courel",6413,6468,6156,5785,5891,5479,4634,3609,2191,1864,1498,1170,192.8
27018,"Fonsagrada, A",17302,17321,17750,15807,14832,13925,12423,9744,9246,6507,5082,4192,438.4
27019,"Foz",6514,6822,7248,7824,8107,8216,8369,8274,8776,9446,9488,9962,100.3
27020,"Friol",8865,8879,9815,10176,10667,10037,9110,7196,5724,5138,4685,4131,292.3
27021,"Xermade",4059,4101,4216,4782,5214,5267,5139,4209,3502,3044,2553,2105,166.6
27022,"Guitiriz",10028,10199,10628,10275,11909,11476,10406,8961,7496,6786,6259,5676,293.7
27023,"Guntín",6319,6729,7271,7557,7207,6188,6243,4914,4351,3824,3423,3026,154.8
27024,"Incio, O",8137,7344,7440,7010,7433,6253,5712,4512,4003,2902,2427,1882,146.2
27025,"Xove",3816,3956,3763,3711,3956,4062,3799,3755,3618,3483,3547,3502,89.1
27026,"Láncara",5169,5269,6222,6113,6542,5513,5308,4284,4209,3530,3186,2869,121.7
27027,"Lourenzá",5105,5003,4517,4443,4384,4348,4060,3487,3266,3100,2776,2401,62.6
27028,"Lugo",26959,35726,28346,31137,42805,53743,58264,63830,73986,87605,88414,98001,329.8
27029,"Meira",4475,4335,4165,4087,2164,2228,2076,1975,1970,1833,1798,1784,46.5
27030,"Mondoñedo",10590,9725,9462,8673,9153,8533,8010,6989,6988,5774,5007,4194,142.7
27031,"Monforte de Lemos",12912,13838,14076,15453,21264,21682,20741,19528,19382,20510,19091,19486,199.5
27032,"Monterroso",5524,5432,5483,5808,6444,5795,5242,4938,4692,4746,4235,3951,114.6
27033,"Muras",3272,3130,3167,3085,3378,3129,2780,2413,2154,1425,1044,756,163.8
27034,"Navia de Suarna",6670,7034,6913,6633,7174,6546,5711,4995,3745,2136,1872,1341,242.6
27035,"Negueira de Muñiz",NA,NA,NA,1534,1570,1424,1097,590,434,286,259,212,72.3
27037,"Nogais, As",5057,5072,4699,4463,4412,4149,3239,2518,2283,1867,1552,1300,110.3
27038,"Ourol",5720,5640,5311,5328,5522,5044,4410,3687,2508,1936,1445,1146,142.1
27039,"Outeiro de Rei",5903,5851,5829,6255,6037,5795,6031,5093,5108,4135,4447,5025,134.2
27040,"Palas de Rei",9800,10609,11230,11094,12189,10044,8674,6496,6323,4812,4213,3654,199.7
27041,"Pantón",12988,12407,12279,10217,10797,10010,8439,6954,5823,4005,3341,2868,143.2
27042,"Paradela",4875,5154,5251,5062,5122,4808,5174,3511,3311,3141,2545,2038,121.1
27043,"Páramo, O",3743,3767,3710,3689,3901,3724,3074,2546,2422,2074,1907,1553,74.8
27044,"Pastoriza, A",7734,7341,7206,7251,7249,6848,6238,5338,4952,4294,3959,3403,175
27045,"Pedrafita do Cebreiro",4217,4602,4188,4171,4185,3858,3423,2861,2500,2103,1552,1201,104.9
27046,"Pol",5274,5118,4931,4777,4812,4261,4097,3457,2851,2431,2058,1794,125.9
27047,"Pobra do Brollón, A",7992,7672,7372,6864,7132,8116,5444,3995,3338,3244,2557,1979,176.7
27048,"Pontenova, A",NA,NA,NA,NA,NA,NA,NA,4841,4298,3647,3238,2677,135.8
27049,"Portomarín",4697,5022,4132,3841,4139,4079,3604,2961,2499,2159,2008,1691,115.1
27050,"Quiroga",8889,8619,8530,7743,8380,7824,7115,4881,5037,4657,4169,3582,317.4
27051,"Ribadeo",8847,9193,9016,9168,9567,9364,9138,8974,9068,8761,9035,9972,108.9
27052,"Ribas de Sil",3767,3857,3769,3795,3838,3923,2992,2089,1611,1568,1371,1061,67.8
27053,"Ribeira de Piquín",NA,NA,NA,NA,2128,2108,1958,1859,1296,1054,837,635,73
27054,"Riotorto",4695,4450,4258,3875,3931,4026,3769,3167,2696,2211,1799,1450,66.3
27055,"Samos",7507,7182,6101,6167,7187,6203,4436,3970,3145,2324,2057,1566,136.6
27056,"Rábade",NA,NA,NA,989,1347,1566,1758,1814,1858,1692,1583,1676,5.2
27057,"Sarria",11998,14933,14243,13891,15167,16142,14759,12052,12000,12437,12887,13436,184.6
27058,"Saviñao, O",11182,11138,11207,10771,12595,12144,12083,8534,7261,5773,5010,4321,196.6
27059,"Sober",9120,9352,9095,9413,10022,9127,8064,6818,4786,3681,3014,2455,133.3
27060,"Taboada",8139,7821,7904,7418,8162,7919,7123,6324,6072,4854,3845,3225,146.7
27061,"Trabada",3682,3488,3446,3224,3216,3186,3069,2548,2277,1910,1591,1268,82.7
27062,"Triacastela",2584,2342,2256,1985,2609,1975,1632,1367,1129,962,873,754,51.2
27063,"Valadouro, O",3856,4057,4018,4054,4280,4351,4234,3461,3184,2721,2377,2127,110.5
27064,"Vicedo, O",4563,4391,4077,3962,4396,4100,3644,3167,2850,2651,2194,1893,76
